index,Address,Category,City,Country,Latitude,Longitude,Name,Country2,City2,Query
0,,Café,,Chile,-23.645888412514154,-70.39882972924566,Letra y Música Café Literario,Chile,Antofagasta,coffee
0,,Café,Antofagasta,Chile,-23.646209007343764,-70.39925979063504,Atelier Café,Chile,Antofagasta,coffee
0,,Café,Antofagasta,Chile,-23.648877673715255,-70.39945456799411,After Five,Chile,Antofagasta,coffee
0,,Cupcake Shop,Antofagasta,Chile,-23.649514967802357,-70.40040883906332,Pasteleria La Palmera,Chile,Antofagasta,coffee
0,Arturo Prat 474,Café,Antofagasta,Chile,-23.647643308802085,-70.3974872826647,Loft Cafe,Chile,Antofagasta,coffee
0,Balmaceda 2355,Coffee Shop,Antofagasta,Chile,-23.644416871659416,-70.40297650975378,Juan Valdez Café,Chile,Antofagasta,coffee
0,,Café,Antofagasta,Chile,-23.648124810163377,-70.39752516467271,Rombos Café,Chile,Antofagasta,coffee
0,Balmaceda 2355,Café,Antofagasta,Chile,-23.645080241034922,-70.40323101253892,Le Coin,Chile,Antofagasta,coffee
0,Mall Plaza Antofagasta,Coffee Shop,,Chile,-23.645103,-70.40318,Doggis Cafe,Chile,Antofagasta,coffee
0,Capitán Arturo Prat Chacón 645,Café,Antofagasta,Chile,-23.649098417714246,-70.39615065252202,Raconto,Chile,Antofagasta,coffee
0,Prat 482,Coffee Shop,Antofagasta,Chile,-23.647740632907993,-70.39739320939246,Café del Centro,Chile,Antofagasta,coffee
0,Mall Antofagasta,Café,Antofagasta,Chile,-23.644935797922773,-70.40329302421183,McCafé,Chile,Antofagasta,coffee
0,,Café,Antofagasta,Chile,-23.646209007343764,-70.39925979063504,Atelier Café,Chile,Antofagasta,coffee
0,,Café,Antofagasta,Chile,-23.648877673715255,-70.39945456799411,After Five,Chile,Antofagasta,coffee
0,,Cupcake Shop,Antofagasta,Chile,-23.649514967802357,-70.40040883906332,Pasteleria La Palmera,Chile,Antofagasta,coffee
0,Arturo Prat 474,Café,Antofagasta,Chile,-23.647643308802085,-70.3974872826647,Loft Cafe,Chile,Antofagasta,coffee
0,Balmaceda 2355,Coffee Shop,Antofagasta,Chile,-23.644416871659416,-70.40297650975378,Juan Valdez Café,Chile,Antofagasta,coffee
