city,cityLabel,population,pa_s,pa_sLabel,coordenadas
http://www.wikidata.org/entity/Q373564,Liaocheng,5955300,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.97766 36.45596)
http://www.wikidata.org/entity/Q373564,Liaocheng,5955300,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(115.983333333 36.45)
http://www.wikidata.org/entity/Q162442,Allahabad,5954391,http://www.wikidata.org/entity/Q668,India,Point(81.85 25.45)
http://www.wikidata.org/entity/Q1538,Pune,5945000,http://www.wikidata.org/entity/Q668,India,Point(73.847777777 18.523611111)
http://www.wikidata.org/entity/Q4629,Surat,5935000,http://www.wikidata.org/entity/Q668,India,Point(72.83 21.17)
http://www.wikidata.org/entity/Q334,Singapore,5888926,http://www.wikidata.org/entity/Q334,Singapore,Point(103.8 1.3)
http://www.wikidata.org/entity/Q10389,Bandung,5860000,http://www.wikidata.org/entity/Q252,Indonesia,Point(107.566666666 -6.95)
http://www.wikidata.org/entity/Q42622,Suzhou,5845000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.59538 31.30408)
http://www.wikidata.org/entity/Q42622,Suzhou,5845000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.61642 31.30401)
http://www.wikidata.org/entity/Q71284,Xiangyang,5844000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.14479 32.0422)
http://www.wikidata.org/entity/Q71284,Xiangyang,5844000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.15307 32.06536)
http://www.wikidata.org/entity/Q71247,Jingzhou,5841000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(112.236111111 30.324444444)
http://www.wikidata.org/entity/Q170322,Qingdao,5775000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.4 36.116666666)
http://www.wikidata.org/entity/Q5826,Xi'an,5740000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(108.9 34.266666666)
http://www.wikidata.org/entity/Q5826,Xi'an,5740000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(108.92861 34.25833)
http://www.wikidata.org/entity/Q58273,Taizhou,5740000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.42213 28.6583)
http://www.wikidata.org/entity/Q58273,Taizhou,5740000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(121.43312 28.66266)
http://www.wikidata.org/entity/Q496405,Qujing,5729000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(103.78333 25.48333)
http://www.wikidata.org/entity/Q496405,Qujing,5729000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(103.80287 25.51018)
http://www.wikidata.org/entity/Q416544,Changde,5717200,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(111.6839 29.03966)
http://www.wikidata.org/entity/Q416544,Changde,5717200,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(111.6783 29.04638)
http://www.wikidata.org/entity/Q1861,Bangkok,5696409,http://www.wikidata.org/entity/Q869,Thailand,Point(100.516666666 13.75)
http://www.wikidata.org/entity/Q427488,Dazhou,5693000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(107.49472 31.2152)
http://www.wikidata.org/entity/Q427488,Dazhou,5693000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(107.50092 31.21592)
http://www.wikidata.org/entity/Q360643,Suzhou,5690000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.96833 33.63328)
http://www.wikidata.org/entity/Q26323,Jieyang,5634000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.36581 23.5418)
http://www.wikidata.org/entity/Q26323,Jieyang,5634000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(116.36495 23.55334)
http://www.wikidata.org/entity/Q571918,Yulin,5598000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.15067 22.6293)
http://www.wikidata.org/entity/Q571918,Yulin,5598000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(110.15 22.63333)
http://www.wikidata.org/entity/Q360374,Anqing,5590000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.033333333 30.5)
http://www.wikidata.org/entity/Q360374,Anqing,5590000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.04723 30.51365)
http://www.wikidata.org/entity/Q404362,Xinxiang,5516000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(113.88515 35.29917)
http://www.wikidata.org/entity/Q217681,Tai'an,5499000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(120.943407 24.46748)
http://www.wikidata.org/entity/Q217681,Tai'an,5499000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.12 36.18528)
http://www.wikidata.org/entity/Q217681,Tai'an,5499000,http://www.wikidata.org/entity/Q148,People's Republic of China,Point(117.12697 36.1881)
